x,f_hz,V_real,V_imag,l,b,h,rho,E0,eta,F_tip,m_tip,k_phi,k_x,use_ideal
0.2,46.0,-0.2577379388932152,-1.0466311833753374,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,47.0,-0.5743796712143583,0.5283892598264228,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,48.0,-0.0586809236765945,-0.02779681648730167,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,49.0,-0.02006592492250872,-0.158120151873911,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,50.0,-0.009986584966882388,-0.20922305537499442,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,51.0,-0.005955706858049081,-0.2343533484910352,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,52.0,-0.00395130371285609,-0.24796079531129409,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,53.0,-0.002812550231082525,-0.25553051981102026,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,54.0,-0.0021045537290733437,-0.2595902848342407,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,55.0,-0.0016347362303654458,-0.26146234545038116,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,56.0,-0.0013072141585486357,-0.2619029537871722,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,57.0,-0.001069902270495815,-0.2613742040987967,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,58.0,-0.0008925333129085708,-0.26017313162876504,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,59.0,-0.0007565459820335841,-0.25849843199880335,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,60.0,-0.0006500455982870101,-0.2564873244472583,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,61.0,-0.0005651250541935562,-0.25423705257413737,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,62.0,-0.0004963623954732838,-0.25181799937704985,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,63.0,-0.000439939536463949,-0.24928199424927486,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,64.0,-0.0003931051088565178,-0.24666774619375673,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,65.0,-0.0003538360341074359,-0.2440044970483184,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,66.0,-0.00032061804342811294,-0.24131453762791025,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,67.0,-0.000292299666596735,-0.23861497759297598,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,68.0,-0.0002679928756579283,-0.23591901372918908,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,69.0,-0.0002470040962638684,-0.23323685389352267,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,70.0,-0.0002287854272826212,-0.23057640007447022,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,71.0,-0.00021289957882996704,-0.22794376005527325,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,72.0,-0.00019899429287388153,-0.22534363524588485,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,73.0,-0.00018678342726307086,-0.22277961780366468,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,74.0,-0.00017603279326733844,-0.2202544204655138,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,75.0,-0.00016654943150203283,-0.21777005589313927,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,76.0,-0.00015817340705698242,-0.21532797774179507,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
